Title;Release_Date;Developers;Summary;Platforms;Genres;Rating;Plays;Playing;esrb_rating
Death World;Mar 17, 2019;[];A dark exploration game.;['Web browser'];[];2.7;4;0;
The Magic School Bus Explores the Rainforest;May 03, 1997;[];Ms. Frizzle and the class travel to Costa Rica to find the missing "bio-clones" to complete Wanda's "Right-Away-Rainforest Toolbox";['Windows PC'];['Quiz/Trivia'];3.4;22;0;
Rival Schools;Oct 30, 1998;[];RIVAL SCHOOLS...OUT OF CONTROL!  /n  /n Capcom unleashes explosive tag-team fighting action in Rival Schools – the most innovative 3-D fighter that teams up 14 brand new warriors united by fate. Vibrant graphics, an intense storyline, outrageous new combos and Capcom's signature gameplay make Rival Schools the 3-D tag-team battle that's completely out of control!  /n In the ultimate fight for justice, there is no rival!  /n  /n * Explosive 3-D tag-team fighting  /n * 14 brand new, outrageous characters  /n * Features 8 modes of gameplay, including League Battle, Tournament, Edit Mode and more!  /n * 2 Discs! The arcade perfect translation plus the enhanced "Evolutions" Disc.  /n * For 1 or 2 players;['PlayStation'];['Fighting'];3.7;224;1;Teen
Kirarin Revolution: Atsumete Change! Qurukira Coord;Dec 20, 2008;['Konami'];A DS game based on Kirarin Revolution.;['Nintendo DS'];['Music'];N/A;2;0;
UFM: Unidentified Fantastic Maiden;Dec 28, 2017;[];Unidentified Fantastic Maiden is a mysterious world around the adventure story, in a visual novel presented to you.;['Windows PC'];['Indie'];N/A;0;0;
Mega Man X;Dec 21, 2011;[];This is the iOS-port of the original game. /n The super masterpiece of the action game "MEGA MAN X” now powered up! With variety of weapons and reinforcing parts, break Sigma’s dark ambition down!!;['iOS'];[];2.3;67;1;
Batman Doom;Dec 31, 1999;['ACE Team'];Batman Doom is a total conversion for Doom II, created by ACE Team in 1999. In Batman Doom, the player plays Batman fighting various criminals in Gotham City. The game includes a very complex DeHackEd patch which makes it very different from Doom.;['Windows PC'];['Shooter'];3.2;12;0;
Current Stream;May 13, 2015;['∞ Infinity Games'];Current Stream is a connection puzzle game, where you need to connect all the bulbs to a energy source.;['Android'];['Puzzle'];N/A;1;0;Everyone 10+
Super V.G.;Aug 21, 1995;['TGL'];The strongest young women in the country hold a tournament, which is sponsored by various restaurant chains, which in turn ask the competing girls to pose as waitresses working in said restaurants, for promotional purposes. The girls of the Jahana group who starred in the previous games return, with the new main protagonist being the young martial artist Yuka Takeuchi, who has been training in a secluded forest area before joining the competition.;['Super Famicom'];['Fighting'];2.3;15;0;
Jurassic Park Institute Tour: Dinosaur Rescue;Aug 18, 2003;[];Jurassic Park Institute Tour: Dinosaur Rescue is an Action game, developed and published by Rocket Company, which was released in Japan in 2003.;['Game Boy Advance'];[];N/A;2;0;
Idaten Jump DS: Moero! Flame Kaiser;TBD;['Taito Corporation'];;[];[];N/A;1;0;
The Entire Screen of One Game;TBD;[];;[];[];N/A;1;0;
Reveal;Oct 12, 2012;['Mike Prinke'];Reveal is a short, experimental first person game that uses transforming space to explore perceptions of the human body. Take the lead in this physiologically-intense performance on a stage set for one. Watch as layers of knowledge and emotion slough off in swaths of paper and splinters of wood. Grab hold of your surroundings and rouse them to life. What you uncover will disturb, titillate, and reveal something unseen within yourself.;['Windows PC'];[];N/A;1;0;
Good Sudoku;Jul 23, 2020;['Zach Gage'];A beautiful & intuitive Sudoku including an AI genius whose only mission is to help you learn and love this classic game.;['iOS'];['Puzzle'];4.2;39;3;
Soopah Doopah Poopah;Jul 04, 2014;['Nik'];A humorous toilet-based clicker game.;['Windows PC'];['Indie'];N/A;1;0;
Kirby's Dream Collection;Jul 19, 2012;['Nintendo'];Complete with 6 classic games, soundtrack CD and anniversary booklet! /n Jump into an interactive celebration of Kirby’s 20th anniversary with Kirby’s Dream Collection Special Edition! The package includes 6 classic Kirby™ titles along with several brand-new Challenge Stages like the ones in Kirby’s Return to Dream Land™ (Wii™), a 45-song music CD, a 48-page anniversary booklet filled with the details of Kirby’s creation and history and interactive timeline to learn everything about Kirby. This is certainly the special package Kirby fans of all ages have been waiting for. /n 6 Classic Kirby games included in one package: /n Kirby’s Dream Land™ (Game Boy™, April 1992 release) /n Kirby’s Adventure™ (NES™, May 1993 release) /n Kirby’s Dream Land 2 (Game Boy, March 1995 release) /n Kirby Super Star™ (Super NES™, Sept. 1996 release) /n Kirby’s Dream Land 3 (Super NES, Nov. 1997release) /n Kirby 64™: The Crystal Shards (N64™, June 2000 release) /n Brand-new Challenge Stages like the ones in Kirby’s Return to Dream Land™ (Wii™) /n Kirby 20th Anniversary Soundtrack CD (Featuring 45 Kirby songs) /n Immersive and Interactive Timeline to see footage and box art of all Kirby’s game releases. /n 48-page booklet featuring various information about Kirby’s star-studded career /n Some of the classic games include multiplayer modes.;['Wii'];['Platform'];4.3;230;0;Everyone 10+
Barbie as the Princess and the Pauper;Dec 31, 2004;[];In her new adventure, Barbie takes on two roles--Erika and Princess Anneliese. Based on the classic story The Prince and the Pauper, this game follows Erika as she tries to prove that she's worthy to be crowned queen. With the help of Princess Anneliese, you must help Erika move through the game's unique environments and settings--the village, castle, and forest--so that she is fully prepared for the coronation ceremony and her role as queen. Showcase Erika's best qualities by helping villagers, solving puzzles, and completing creative tasks.;['Windows PC'];[];3.6;8;0;
Knight Club;Aug 22, 2018;['Gutter Arcade'];KNIGHT CLUB: DELUXE Is a 2-4 player action platform-fighting game that brings traditional fighting game elements into an unlocked, free form movement play style. Equip your favorite armaments and do battle against your friends locally or online!;['Windows PC'];['Indie'];3.5;9;0;
Beatmania IIDX 19 Lincle;Sep 15, 2011;['Konami Digital Entertainment'];;['Arcade'];['Music'];4.4;10;1;
Rogan: The Thief in the Castle;Jul 15, 2019;['Smilegate Entertainment'];Rogan: The Thief in the Castle is a visually striking new Oculus Rift and HTC Vive game on the way from Smilegate Entertainment. /n As the name suggests, the game's set within the confines of a giant castle. You have the misfortune of visiting the castle on the day of its Lord's murder, putting guards on high alert. Instead of deciding to swipe loot for yourself, then, you set about trying to prove the innocence of one of the crime’s most likely suspects.;['Windows PC'];['Adventure'];N/A;1;0;
Abracadabra;TBD;[];Abracadabra is another part in Once Upon A Time series and interactive book for kids similar to another part in the series Baba Yaga.  /n  /n Some time have passed since the dragon brought a child to one of the four houses in the kingdom. Child has grown and became a brave guy. One night his parents went out of home for some reason, and evil wizard Satanicus stole the very precious item of your parents. To do not make your parents upset, you decide to return this item.  /n  /n During the 7 chapters you'll switch between three modes of the game:  /n 1) Searching an object in first-person view via point and click,  /n 2) Move through the forest, jumping, ducking, and using a weapon in third-person side view,  /n 3) Fighting with the one of big bosses in first-person view via point and click.  /n  /n Three difficulty levels are available. Finishing the game, player may replay the game starting from the one of four certain game parts. The game is available in English, Spanish, German, Italian, and French languages.;['Amstrad CPC'];['Adventure'];N/A;1;0;
Captain Successor;TBD;[];The sequel to Captain Forever, Successor promises a variety of new ship parts, like torpedoes, homing missiles, ramming spikes, and auto-repair systems.;[];['Shooter'];N/A;0;0;
Armed Heroes Online;TBD;[];A hack 'n slash game for iOS largely known for having stolen a significant amount of assets from Runic Games' Torchlight.;[];[];N/A;3;0;
Activision's Atari 2600 Action Pack 2;TBD;[];;[];['Arcade'];N/A;0;0;
Downfall;TBD;[];;[];['Shooter'];N/A;0;0;Adults Only
Jumping Jack;TBD;[];Jump from one place to another. Avoid hitting obstacles. Gather bonus items for points.;['ZX Spectrum'];['Pinball'];N/A;1;0;
Dungeon Fray;TBD;[];;[];[];N/A;0;0;
Present For You;Oct 25, 2012;['Daidai Inc.'];;['PlayStation Vita'];[];N/A;0;0;
Gun Done: Who is Awesome;TBD;['AZAMATIKA'];Gun Done: Who is Awesome - a Duel Arcade game in Push-A-Couple-Of-Buttons-To-Win genre, in which a man fights his Fate.;[];['Indie'];N/A;0;0;
Rogan: The Thief in the Castle;Jul 15, 2019;['Smilegate Entertainment'];Rogan: The Thief in the Castle is a visually striking new Oculus Rift and HTC Vive game on the way from Smilegate Entertainment. /n As the name suggests, the game's set within the confines of a giant castle. You have the misfortune of visiting the castle on the day of its Lord's murder, putting guards on high alert. Instead of deciding to swipe loot for yourself, then, you set about trying to prove the innocence of one of the crime’s most likely suspects.;['Windows PC'];['Adventure'];N/A;1;0;
Warspace.io;TBD;['OnlySpace'];WarSpace.io is an NFT-based play to earn game developed on the WAX blockchain. Thanks to the tokenized economy, players themselves control the market and build trade relations. Everyone can choose their own path: develop stone mining, engage in logging, restore the food industry or go deep underground in search of gold. Resources are needed to build new buildings, as well as to participate in pvp-battles.;['Web browser'];['Platform'];N/A;0;0;
Catto Pew Pew!;Aug 16, 2022;[];Blast your friends into the horizon in this chaotic arena shooter!;['Windows PC'];['Indie'];1.2;8;0;
Asphalt 9: Legends - High-Gear Pack;Jan 15, 2020;[];;['Nintendo Switch'];[];N/A;0;0;
Babysitting Mania;Feb 02, 2008;['Majesco Entertainment'];Babysitting Mania is a simulation-style, time-management game developed by Gogii Games and iWin and available for OS X, Microsoft Windows and the Nintendo DS. The game allows the player to babysit many virtual children while cleaning the house and managing parties all under a certain time limit. The game is available for free as a download from iWin.com. /n The player has a limited amount of time to keep the chaos meter down by clicking items with a red outline, washing clothes, or putting rubbish in the bin. If the player does not manage the chaos, the player will not be able to put the children to bed. If the player does not do it before the parents come home then the player will have to retry the level. To make it more difficult, there are different and larger houses in which the kids get more chaotic.;['Nintendo DS'];['Simulator'];1.0;3;0;
People's Tactics;Oct 14, 2003;[];People's Tactics is a freeware strategy game for the PC.;['Windows PC'];['Strategy'];N/A;0;0;
Stick Empires;TBD;[];A flash RTS game about a stick figure universe.;[];[];N/A;5;0;
Game Boy Advance Video: Kirby: Right Back at Ya!;TBD;[];;['Game Boy Advance'];[];N/A;4;0;
Tomb Raider: The Trilogy;Oct 19, 2001;['Aspyr Media'];The first 3 Tomb Raider game's re-released as a limited edtion in 2001 as the first Angelina Jolie movie was approaching. Contains new patch fixes not in original versions aswell as higher quality FMV's for Tomb Raider 1.;['Mac'];[];N/A;4;0;
Aces of the Multiverse;Dec 11, 2019;['Gamera Nest'];'Aces of the Multiverse' is a game that is played in multiple parallel realities. On the one hand, we have science fiction characters competing in an exciting tournament. On the other hand, there are players from their real universe and with the help of their Xplora smart watch they can unlock new characters, teams and stadiums.;['PlayStation 4'];[];N/A;0;0;
Distress;Jan 19, 2018;[];Distress is a Yume Nikki fangame made for the 4th Dream Diary Jam. Help Saya find the effects, there are a total of 11. You can mix up all the effect together, making a total of 55 mixes.;['Windows PC'];['Adventure'];N/A;1;0;
Frog Feast;Feb 05, 2006;[];A 16-bit remake of the game Frog Bog, which was originally released on the Atari 2600. The game has been released on a variety of platforms, but originated during the Classic Gaming Expo 2005. It is consistently being ported to new platforms.;['Sega Mega Drive/Genesis'];[];N/A;0;0;
Frog Feast;Feb 05, 2006;[];A 16-bit remake of the game Frog Bog, which was originally released on the Atari 2600. The game has been released on a variety of platforms, but originated during the Classic Gaming Expo 2005. It is consistently being ported to new platforms.;['Sega Mega Drive/Genesis'];[];N/A;0;0;
Learning with Leeper;Jan 08, 1985;[];In Lunar Leeper, one of Sierra's earlier arcade games, players had to rescue prisoners on a planet's surface while avoiding the "Leepers", who would leap into the air in an attempt to grab them, and one of the Leepers feature in this game. Similar to Learning with FuzzyWOMP, the player can select one of four games, by moving the Leeper to the icon and pressing the fire button to select it.;['ColecoVision'];['Puzzle'];N/A;0;0;
Track & Field in Barcelona;Feb 01, 1992;[];Track & Field in Barcelona released on the NES was a re-release in Europe in 1992 in the light of the 1992 Summer Olympics, earlier versions were simply known as Track & Field. The opening song for the NES version is the Chariots of Fire theme by Vangelis (which was also used in the arcade version's high score screen). /n In the original arcade game, the player uses two "run" buttons (or a trackball in later units that replaced buttons damaged from overuse) and one "action" button to control an athlete competing in the following six events:;['NES'];['Sport'];N/A;3;0;
The Last Word;TBD;[];;[];[];N/A;0;0;
Tales of Lagoona: Orphans of the Ocean;Aug 18, 2011;[];Help Islabelle the mermaid save her orphanage in Tales of Lagoona: Orphans of the Ocean, a delightful search endeavor. The New Anemone Orphanage has fallen on hard times and is in trouble of shutting down. Islabelle is doing everything she can to save the children's home and has devised a plan to raise the money needed for repairs. /n -explore a wonderful underwater world in this hidden object treasure /n -meet a host of loveable characters as you accept fun side quests /n -play and solve over 150 delightful puzzles /n -earn unique trophies and unlock stunning wallpapers;['Windows PC'];[];N/A;0;0;
Stick Empires;TBD;[];A flash RTS game about a stick figure universe.;[];[];N/A;5;0;
Escape IV - Prison Break;TBD;[];;[];[];N/A;0;0;
Lonn;TBD;['SixSense Studios'];LONN is an action-adventure story based VR game set in a dystopian cyberpunk city.;[];['Adventure'];N/A;1;0;
Tripgate;Jul 09, 2014;['Dustmyte'];A bright and colorful exploration game.;['Windows PC'];['Adventure'];3.3;6;0;
Tomb Raider: The Trilogy;Oct 19, 2001;['Aspyr Media'];The first 3 Tomb Raider game's re-released as a limited edtion in 2001 as the first Angelina Jolie movie was approaching. Contains new patch fixes not in original versions aswell as higher quality FMV's for Tomb Raider 1.;['Mac'];[];N/A;4;0;
Space Impact+;Dec 31, 2003;['Nokia'];One of the sequels for the game Space Impact installed on Nokia 3300 series mobile phones. It was one of the pre-installed games on the Nokia 1100 series phones.;['Mobile'];['Shooter'];2.9;34;0;
Mad Martha;Dec 31, 1983;[];This (mostly) text adventure game places you in the role of hen-pecked hero, Henry Littlefellow. Seeking entertainment once in his life, your goal is to steal back your wages from your wife's purse and head off to the bright lights of the nearby casino (and other establishments) for a night of fun. Unfortunately, your axe-wielding maniac wife won't let things be that simple, and even escaping the house will be tricky without stumbling in the dark or waking the baby and alerting her to your sneaky plan. /n Mad Martha is primarily a standard text adventure game, however the user is also presented with the odd arcade section (such as collecting £'s of money whilst avoiding the family cat, or dodging frogger-style across a road to go back home and collect the car keys), to break up the game flow. Getting into the casino leads you to the final challenge.;['ZX Spectrum'];['Adventure'];N/A;0;0;
Tecmo Super Hockey;Feb 01, 1994;[];Tecmo Super Hockey features the license from the NHLPA, having the top players of the game at the time. It offers exhibition and regular games as well as playing a season with updated stats and the ability to play in the All-Star game as well. Gameplay is similar to other games, with buttons to pass, shoot, making slap-shots and fake shots, as well as fighting, which is not a common feature. It can be played by two players simultaneously.;['Sega Mega Drive/Genesis'];['Sport'];N/A;2;0;
Track & Field in Barcelona;Feb 01, 1992;[];Track & Field in Barcelona released on the NES was a re-release in Europe in 1992 in the light of the 1992 Summer Olympics, earlier versions were simply known as Track & Field. The opening song for the NES version is the Chariots of Fire theme by Vangelis (which was also used in the arcade version's high score screen). /n In the original arcade game, the player uses two "run" buttons (or a trackball in later units that replaced buttons damaged from overuse) and one "action" button to control an athlete competing in the following six events:;['NES'];['Sport'];N/A;3;0;
The Last Word;TBD;[];;[];[];N/A;0;0;
Tales of Lagoona: Orphans of the Ocean;Aug 18, 2011;[];Help Islabelle the mermaid save her orphanage in Tales of Lagoona: Orphans of the Ocean, a delightful search endeavor. The New Anemone Orphanage has fallen on hard times and is in trouble of shutting down. Islabelle is doing everything she can to save the children's home and has devised a plan to raise the money needed for repairs. /n -explore a wonderful underwater world in this hidden object treasure /n -meet a host of loveable characters as you accept fun side quests /n -play and solve over 150 delightful puzzles /n -earn unique trophies and unlock stunning wallpapers;['Windows PC'];[];N/A;0;0;
Avatar Warfare!;Jun 19, 2013;[];An Xbox Live Indie Games first-person shooter featuring Xbox Avatars.;['Xbox 360'];['Shooter'];1.2;13;0;
Jissen Pachi-Slot Hisshouhou! Single: Kamen Rider V3;Oct 28, 1999;[];Jissen Pachi-Slot Hisshouhou! Single: Kamen Rider V3 is a Kamen Rider V3-themed pachi-slot game.;['PlayStation'];[];N/A;1;0;
Escape IV - Prison Break;TBD;[];;[];[];N/A;0;0;
Peter Pan's Playground;Jul 23, 2008;[];;['Nintendo DS'];[];N/A;3;0;
Tomb Raider: The Trilogy;Oct 19, 2001;['Aspyr Media'];The first 3 Tomb Raider game's re-released as a limited edtion in 2001 as the first Angelina Jolie movie was approaching. Contains new patch fixes not in original versions aswell as higher quality FMV's for Tomb Raider 1.;['Mac'];[];N/A;4;0;
My Little Pegasus: Kizuna DoPonyPachi;Apr 28, 2012;['Giest118'];It's My Little Pony in the style of a Cave shoot em up. Play as either Rainbow Dash or Fluttershy and fight against the hordes of evil to save Equestria! Careful though, the evil forces have taken control of your friends, and they now pilot enormous battleships!;['Windows PC'];['Shooter'];N/A;1;0;
Western Gun;Sep 01, 1975;['Taito'];Western Gun, which served as an inspiration for Gun Fight in the USA (they're similar in gameplay and theme, but they're two different games), is a 1975 arcade shooter game designed by Tomohiro Nishikado, and released by Taito in Japan and Europe and by Midway Games in North America. It was the first video game to depict human-to-human combat, while the Midway version was also the first video game to use a microprocessor. Following its November 1975 release in North America, it went on to sell over 8,000 arcade cabinets in the United States. It was ported to the Bally Astrocade video game console as a built-in game in 1977 as well as several home computer platforms. /n The theme of the game involves two Old West cowboys armed with revolvers and squaring off in a duel. Whoever shoots the other cowboy first wins the duel. Unlike in a real-life duel, however, both cowboys get numerous opportunities to duel in order to score points (one point per successful draw).;['Arcade'];['Shooter'];N/A;1;0;
Overlord: Ultimate Evil Collection;TBD;[];;[];[];N/A;1;0;
Star Crisis;TBD;[];A side-scrolling retro shooter from Excalibur Games, and featuring music from Magnus Palsson, the composer behind VVVVVV.;[];[];N/A;1;0;
Next;Nov 11, 2017;['Pirotexnik'];Minimalist puzzle game with calm music. The player's goal is to make a box falling on the platform.;['Windows PC'];['Indie'];N/A;3;0;
Cover Orange 2;TBD;[];;[];[];N/A;3;0;
Peter Pan's Playground;Jul 23, 2008;[];;['Nintendo DS'];[];N/A;3;0;
Game 1;TBD;[];Russian Roulette is an experimental, free to play, skill based game which gives you only ONE LIFE to rank on a global leaderboard. You have only one life to shine. Make it count.;[];[];N/A;0;0;
The Spark of One;TBD;[];A game for Dr. Martin Luther King Jr.;[];[];N/A;1;0;
Tomb Raider: The Trilogy;Oct 19, 2001;['Aspyr Media'];The first 3 Tomb Raider game's re-released as a limited edtion in 2001 as the first Angelina Jolie movie was approaching. Contains new patch fixes not in original versions aswell as higher quality FMV's for Tomb Raider 1.;['Mac'];[];N/A;4;0;
Spider-Man 2: The Snap Game;Dec 31, 2004;['KFC'];Spider-Man 2: The Snap Game was an online game by KFC Singapore as a part of the KFC Chicky Club, their online service of Flash games for kids. The game was made to promote the movie Spider-Man 2. /n As of 2022, no copies of the game have resurfaced.;['Web browser'];['Card & Board Game'];N/A;0;0;
Seen on Screen;Sep 01, 2006;['Bart Bonte'];Complete all levels by analyzing what you see on the monitor. Now touch that screen...;['Web browser'];['Puzzle'];N/A;2;0;
Barbie as the Princess and the Pauper;Dec 31, 2004;[];In her new adventure, Barbie takes on two roles--Erika and Princess Anneliese. Based on the classic story The Prince and the Pauper, this game follows Erika as she tries to prove that she's worthy to be crowned queen. With the help of Princess Anneliese, you must help Erika move through the game's unique environments and settings--the village, castle, and forest--so that she is fully prepared for the coronation ceremony and her role as queen. Showcase Erika's best qualities by helping villagers, solving puzzles, and completing creative tasks.;['Windows PC'];[];3.6;8;0;
Imagine: Zookeeper;Oct 06, 2010;['Magic Pockets'];Continuing along the Imagine series, Imagine Zookeeper lets you run your own animal reserve on your DS.;['Nintendo DS'];['Simulator'];1.3;6;0;
Demon Blue;Dec 31, 1992;[];In the game you are a small shaggy blue demon found himself in the dungeon full of fallen angels, gargoyles, wasps, etc. Walking through them you lose your energy, which is your life. So you have to run and jump avoiding them, collecting gems, blood drops, energy vials, and some sort of your friend-demons such as eyes and tongues. On each level you have to find the keys to open door to magical cauldron guarded by beautiful elf. Levels are decorated with statues of beautiful women, old men, dragons, swords, or eye walls.;['Amiga'];['Platform'];N/A;1;0;
Army Craft;Jul 28, 2017;[];Someone can think that one man can’t win a war. During the game you will see the opposite.  /n You have to confront hordes of enemy infantry and military equipment.;['Windows PC'];['Indie'];N/A;0;0;
Juman J. Zeus;TBD;[];Independent game create by French students;[];[];N/A;0;0;
Hi-Deal;TBD;[];Hi-Deal is a gambling themed pinball machine from 1975.;[];['Pinball'];N/A;0;0;
Super Game System Basic;Nov 21, 2017;['PixelWhipped'];Learn the basics of programming and create your own Games and Apps in Super Game System Basic. The SGS is a fictional 80's style system where with its own IDE for creating simple little games and apps. Ideal for young people just wanting to learn simple program flow and have fun doing it, or old retro enthusiasts wanting to see what they can do.;['Windows PC'];['Indie'];N/A;0;0;
Talking Tom Pool;Nov 22, 2017;[];Get ready to party with Talking Tom and Friends in a completely new kind of puzzle game! Sling and match colors to clear the pool and win!;['iOS'];['Arcade'];N/A;2;0;Everyone 10+
Gang Beasts Rick And Morty 2;TBD;[];;[];[];N/A;1;0;
Super Yakyuken;TBD;[];;[];[];N/A;0;0;
Cookie Cats Blast;TBD;['Tactile Entertainment'];;[];[];N/A;0;0;Everyone 10+
Doom II: The Cube;Apr 02, 2020;[];The Cube is a one-map mod which was inspired by the 1997 movie "Cube", directed by Vincenzo Natali. Much like in the movie, you find yourself in a high-tech maze that seems to be ever shifting. Only this time, there are hordes of demons trapped there with you!;['Windows PC'];['Shooter'];N/A;1;0;
Spider-Man 2: The Snap Game;Dec 31, 2004;['KFC'];Spider-Man 2: The Snap Game was an online game by KFC Singapore as a part of the KFC Chicky Club, their online service of Flash games for kids. The game was made to promote the movie Spider-Man 2. /n As of 2022, no copies of the game have resurfaced.;['Web browser'];['Card & Board Game'];N/A;0;0;
Seen on Screen;Sep 01, 2006;['Bart Bonte'];Complete all levels by analyzing what you see on the monitor. Now touch that screen...;['Web browser'];['Puzzle'];N/A;2;0;
Calm Falls;Dec 21, 2002;['Kelven'];Calm Falls is the first released game from Kelven and might be the first german Silent Hill inspired RPG-Maker game.;['Windows PC'];['Indie'];N/A;3;0;
Imagine: Zookeeper;Oct 06, 2010;['Magic Pockets'];Continuing along the Imagine series, Imagine Zookeeper lets you run your own animal reserve on your DS.;['Nintendo DS'];['Simulator'];1.3;6;0;
Army Craft;Jul 28, 2017;[];Someone can think that one man can’t win a war. During the game you will see the opposite.  /n You have to confront hordes of enemy infantry and military equipment.;['Windows PC'];['Indie'];N/A;0;0;
Let's Talk About Me;Dec 31, 1995;[];;['Windows PC'];[];N/A;2;0;
Juman J. Zeus;TBD;[];Independent game create by French students;[];[];N/A;0;0;
SAM Simulator;Oct 10, 2009;[];Surface-to-air missile simulator.;['Windows PC'];[];N/A;0;0;
Codename: Phantom;Nov 22, 2017;[];Step into the shoes of an elite agent and experience thrilling scenarios filled with tension.;['Windows PC'];['Shooter'];N/A;0;0;Adults Only
Lupin III: Pandora no Isan;Nov 06, 1987;[];A Lupin III action game for the Famicom. It is based somewhat on the movie Castle of Cagliostro.;['Family Computer (FAMICOM)'];['Platform'];2.2;6;0;
Firestarter;Mar 05, 2004;['GSC Game World'];In the year 2010, a malicious virus has infected a virtual reality machine, the FireStarter. The intruding program has caused the computer to malfunction. The rules of the simulation have been altered in a potentially deadly manner, with the player's consciousness trapped inside. There is only one possible way to escape, by completing the game with a period of 48 virtual hours. The penalty for failing to do so is the ultimate one – real death.;['Windows PC'];['Shooter'];N/A;9;1;
Talking Tom Pool;Nov 22, 2017;[];Get ready to party with Talking Tom and Friends in a completely new kind of puzzle game! Sling and match colors to clear the pool and win!;['iOS'];['Arcade'];N/A;2;0;Everyone 10+
Super Yakyuken;TBD;[];;[];[];N/A;0;0;
Cookie Cats Blast;TBD;['Tactile Entertainment'];;[];[];N/A;0;0;Everyone 10+
Save the Cookie;Oct 30, 2018;[];Save the cookie from the terrible maw of Chester, the hungry pug. He will do everything necessary to steal your cookie! Who will be faster? Your reflexes or your gluttony and tricks?;['Windows PC'];['Indie'];N/A;0;0;
Yu-Gi-Oh! Duel Monsters GX: Card Almanac;TBD;['Konami'];;[];['Card & Board Game'];N/A;2;0;
Lonn;TBD;['SixSense Studios'];LONN is an action-adventure story based VR game set in a dystopian cyberpunk city.;[];['Adventure'];N/A;1;0;
Efteling Tycoon;Mar 28, 2008;['Atari'];;['Windows PC'];['Simulator'];N/A;3;0;
Doom II: The Cube;Apr 02, 2020;[];The Cube is a one-map mod which was inspired by the 1997 movie "Cube", directed by Vincenzo Natali. Much like in the movie, you find yourself in a high-tech maze that seems to be ever shifting. Only this time, there are hordes of demons trapped there with you!;['Windows PC'];['Shooter'];N/A;1;0;
Seen on Screen;Sep 01, 2006;['Bart Bonte'];Complete all levels by analyzing what you see on the monitor. Now touch that screen...;['Web browser'];['Puzzle'];N/A;2;0;
To Heart 2;TBD;[];;[];[];N/A;0;0;
Zoboomafoo: Leapin' Lemurs;Nov 07, 2001;[];Zoboomafoo will have to collect at least twenty-five of the fifty snacks in each level before he can move on to the next, but with the help of his friends and his own jumping, leaping, and climbing abilities, he's ready for the challenge. Aside from the interactive action this game offers, it also focuses on helping players learn about the animals they encounter. When you meet a new animal, the game will give you "Animal Fun Facts" that tell you something about the way that animal lives. So get ready to take on the role of Zoboomafoo, where you'll scamper, scurry, and more importantly, learn!;['PlayStation'];[];N/A;5;0;
Rocketball;Feb 01, 1985;['IJK Software'];Rocketball is based on the futuristic sports movie Rollerball, released in 1975. The computer game is similar to Roller Derby in that two teams on roller skates travel counter-clockwise around a banked, circular track. The object of the game is to score points by throwing a softball-sized metal ball into a cone-shaped goal target inset into the wall of the arena. Balls are fired into play, in the same direction players skate, by cannons when play begins and to restart play after the ball rolls out of play or a goal is scored.;['Commodore C64/128'];['Sport'];N/A;0;0;
F.E.A.R.: Platinum Collection;Oct 17, 2005;[];F.E.A.R. Platinum includes the original F.E.A.R. and its two addons: F.E.A.R. Extraction Point and F.E.A.R. Perseus Mandate. /n Be the hero in your own cinematic epic of action, tension and terror. A mysterious paramilitary force infiltrates a multi-billion dollar aerospace compound, taking hostages but issuing no demands. The government responds by sending in a Special Forces team only to have them obliterated. Live footage of the massacre shows an inexplicable wave of destruction tearing the soldiers apart. With no other recourse, the elite F.E.A.R. (First Encounter Assault Recon) team is assembled to deal with the extraordinary circumstances. They are given one simple mission: Evaluate the threat and eliminate the intruders at any cost. /n F.E.A.R. Extraction Point /n Extraction Point kicks off where the original game ended – with a bang. As the helicopter which the F.E.A.R. team is on attempts to leave the vicinity, it instead winds up crashing. The F.E.A.R. team is thus forced to seek out an alternate extraction point, all the way battling the now free Alma and her paranormal minions across a destroyed city. /n F.E.A.R. Perseus Mandate /n As the first F.E.A.R. team and Delta Force fight for control of the situation, a second F.E.A.R. team is sent in to shed some light on Armacham Technology Corporation's (ATC) dark past. As a member of a secondary F.E.A.R. team, you are brought in to discover more information regarding the secret project at the ATC facilities. /n Hyper-stylized combat for breathtaking cinematic quality action /n Gripping supernatural storyline for spine-tingling intensity of play /n Advanced graphics and physics for visceral movie-like experience /n Enemies with special abilities and A.I. so intuitive it’s like battling living, breathing players;['Windows PC'];[];N/A;3;0;
Avatar Warfare!;Jun 19, 2013;[];An Xbox Live Indie Games first-person shooter featuring Xbox Avatars.;['Xbox 360'];['Shooter'];1.2;13;0;
Leithian: In the Abyss;TBD;[];A South Korean action RPG for the PC developed by Garam & Baram.;[];[];N/A;0;1;
SAM Simulator;Oct 10, 2009;[];Surface-to-air missile simulator.;['Windows PC'];[];N/A;0;0;
Lupin III: Pandora no Isan;Nov 06, 1987;[];A Lupin III action game for the Famicom. It is based somewhat on the movie Castle of Cagliostro.;['Family Computer (FAMICOM)'];['Platform'];2.2;6;0;
Ultimate Arena: Showdown;Feb 23, 2018;['Triverske'];Fighters from across space and time compete in a nonsensical simulation of wit, might, and luck. Many will enter, one will win!;['Windows PC'];['Simulator'];N/A;1;0;
Girl and Boy dressup miraculous games;TBD;[];;[];[];N/A;0;0;
